Cost,DoC,TotPlastics(kg),HDPE,LDPE,PP,PLA,PHA,Paper,Reprocess,Pyrolysis,Landfill,Incineration,GWP
Cost,DoC,TotPlastics(kg),HDPE,LDPE,PP,PLA,PHA,Paper,Reprocess,Pyrolysis,Landfill,Incineration,GWP
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0815,0.7031,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0136,0.1358,3.9042
4.4279,0.7209,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0645,0.6433,14.4507
4.4279,0.7209,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0645,0.6433,14.4507
0.8005,1.5364,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0469,0.4677,3.6906
1.6119,0.7172,1.2651,0.0000,0.0000,1.2651,0.0000,0.0000,0.0000,0.8371,0.0000,0.0312,0.3112,6.0194
8.6206,0.3525,7.1415,0.0000,0.0000,0.0000,0.0000,0.0000,7.1415,3.6823,0.0000,0.0000,0.0000,93.8807
8.6206,0.3525,7.1415,0.0000,0.0000,0.0000,0.0000,0.0000,7.1415,3.6823,0.0000,0.0000,0.0000,93.8807
4.9042,0.1120,7.6679,0.7424,0.0000,0.0000,0.0000,0.0000,6.9255,0.9765,0.0000,0.0000,0.0000,-4.2903
9.1275,0.4113,6.5190,0.0000,0.0000,0.0000,0.0000,0.0000,6.5190,4.3136,0.0000,0.0000,0.0000,90.3299
4.9042,0.1120,7.6679,0.7424,0.0000,0.0000,0.0000,0.0000,6.9255,0.9765,0.0000,0.0000,0.0000,-4.2903
8.6206,0.3525,7.1415,0.0000,0.0000,0.0000,0.0000,0.0000,7.1415,3.6823,0.0000,0.0000,0.0000,93.8807
3.4963,0.1150,5.9134,0.0000,0.0000,0.5535,0.0000,0.0000,5.3599,0.7819,0.0000,0.0000,0.0000,-3.8317
14.6391,0.0000,4.1550,0.0000,0.0000,0.0000,4.1550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9713
9.1275,0.4113,6.5190,0.0000,0.0000,0.0000,0.0000,0.0000,6.5190,4.3136,0.0000,0.0000,0.0000,90.3299
5.6640,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,0.0000,10.7722,0.0000,0.0000,0.0000,0.0000,114.5910
4.9042,0.1120,7.6679,0.7424,0.0000,0.0000,0.0000,0.0000,6.9255,0.9765,0.0000,0.0000,0.0000,-4.2903
4.4523,0.4330,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0512,0.5104,14.2091
1.6119,0.4390,1.2651,0.0000,0.0000,1.2651,0.0000,0.0000,0.0000,0.8371,0.0000,0.0312,0.3112,6.0194
