k,i,GWP,Theta,Per_Recy,Per_Comp,GHG_ElecInd,GHG_Transport,OCost
221,9,11.0285,0.6028,0,0,3.97026,1.32342,2.4333
222,9,4,0.4915,0.041492934,0,1.44,0.48,0.8014
223,9,8.5,0.5836,0,0,3.06,1.02,1.8103
224,9,10,0.596,0,0,3.6,1.2,2.1799
225,9,10.75,0.6011,0,0,3.87,1.29,2.3647
226,9,11.2,0.6038,0,0,4.032,1.344,2.4756
227,9,4,0.4915,0.041492934,0,1.44,0.48,0.8014
228,9,8.5,0.5836,0,0,3.06,1.02,1.8103
229,9,10,0.596,0,0,3.6,1.2,2.1799
230,9,10.75,0.6011,0,0,3.87,1.29,2.3647
231,9,11.2,0.6038,0,0,4.032,1.344,2.4756
232,10,12.2276,0.5596,0.39658092615,0,4.401936,1.467312,3.7074
233,10,1.7505,0.4706,0.3966069681,0,0.63018,0.21006,0.9666
234,10,2.9585,0,0,0,1.06506,0.35502,0.7842
235,10,1.78,0.3928,0.33131383785,0,0.6408,0.2136,0.8
236,10,3.0068,0.067,0.05118931035,0,1.082448,0.360816,0.8
237,10,1.78,0.4179,0.35240660415,0,0.6408,0.2136,0.85
238,10,3.1597,0.2797,0.2133202743,0,1.137492,0.379164,0.85
239,10,1.78,0.4715,0.3966069681,0,0.6408,0.2136,0.9654
240,10,6.89,0.5474,0.39656755125,0,2.4804,0.8268,2.0267
241,10,7.5992,0.5499,0.3965582655,0,2.735712,0.911904,2.25
242,10,7.5992,0.5499,0.3965582655,0,2.735712,0.911904,2.25
243,10,7.5992,0.5499,0.3965582655,0,2.735712,0.911904,2.25
244,10,1.78,0.4715,0.3966069681,0,0.6408,0.2136,0.9654
245,10,6.89,0.5474,0.39656755125,0,2.4804,0.8268,2.0267
246,10,8.5933,0.5528,0.39659719275,0,3.093588,1.031196,2.563
247,10,9.0812,0.554,0.3965837103,0,3.269232,1.089744,2.7167
248,10,9.0812,0.554,0.3965837103,0,3.269232,1.089744,2.7167
249,10,1.78,0.4715,0.3966069681,0,0.6408,0.2136,0.9654
250,10,6.89,0.5474,0.39656755125,0,2.4804,0.8268,2.0267
251,10,8.5933,0.5528,0.39659719275,0,3.093588,1.031196,2.563
252,10,9.445,0.5548,0.38787930045,0,3.4002,1.1334,2.8312
253,10,9.8222,0.5556,0.3798625302,0,3.535992,1.178664,2.95
254,10,1.78,0.4715,0.3966069681,0,0.6408,0.2136,0.9654
